filename,width,height,class,xmin,ymin,xmax,ymax
0062.jpg,1300,1060,pistol,774,589,1160,868
0062.jpg,1300,1060,pistol,166,187,637,470
0062.jpg,1300,1060,pistol,696,180,1127,499
0063.jpg,1300,940,pistol,700,294,919,623
0064.jpg,971,1300,pistol,17,505,382,1029
0065.jpg,1280,720,pistol,62,16,1280,713
0066.jpg,288,175,pistol,8,2,282,170
0067.jpg,450,300,pistol,319,212,356,275
0068.jpg,168,113,pistol,100,73,125,100
0069.jpg,168,113,pistol,76,62,93,86
0070.jpg,168,113,pistol,101,35,124,55
0071.jpg,638,479,pistol,304,169,596,362
0072.jpg,113,168,pistol,40,47,68,115
0073.jpg,1001,1620,pistol,145,208,620,1057
0074.jpg,640,360,pistol,358,111,385,131
0075.jpg,678,1024,pistol,198,266,541,845
0076.jpg,640,409,pistol,148,6,573,238
0077.jpg,1300,1300,pistol,57,290,1268,1157
0078.jpg,300,450,pistol,36,112,157,276
0079.jpg,113,168,pistol,25,63,45,99
0080.jpg,113,168,pistol,63,77,102,121
0081.jpg,113,168,pistol,25,72,50,124
0082.jpg,866,1300,pistol,147,438,358,846
0083.jpg,113,168,pistol,32,74,73,134
0084.jpg,450,295,pistol,205,104,266,166
0084.jpg,450,295,pistol,277,98,348,167
0085.jpg,1300,867,pistol,74,99,319,387
0086.jpg,450,300,pistol,327,90,432,176
0087.jpg,1300,1108,pistol,839,78,1052,515
0088.jpg,199,132,pistol,65,27,102,97
0089.jpg,168,113,pistol,32,24,56,80
0090.jpg,270,186,pistol,2,6,233,179
0091.jpg,168,113,pistol,69,13,76,60
0092.jpg,112,168,pistol,29,17,35,49
0093.jpg,1300,867,pistol,331,254,384,379
0093.jpg,1300,867,pistol,600,275,686,463
0093.jpg,1300,867,pistol,866,277,923,520
0094.jpg,682,1024,pistol,198,259,234,362
0095.jpg,1300,867,pistol,19,191,594,503
0096.jpg,459,344,pistol,22,37,420,290
0097.jpg,400,267,pistol,150,42,329,124
0098.jpg,113,168,pistol,77,47,103,81
0099.jpg,1500,1564,pistol,930,393,1403,909
0100.jpg,450,300,pistol,184,148,283,229
0101.jpg,1000,1620,pistol,141,195,341,447
0102.jpg,1280,720,pistol,288,126,700,364
0103.jpg,450,300,pistol,111,83,199,129
0104.jpg,450,300,pistol,94,107,171,173
0105.jpg,996,1620,pistol,180,550,680,935
0106.jpg,1300,866,pistol,441,190,580,388
0107.jpg,156,235,pistol,43,52,75,130
0108.jpg,1500,1120,pistol,819,167,1033,486
0109.jpg,685,1024,pistol,9,222,194,518
0110.jpg,1300,731,pistol,239,51,1027,667
0111.jpg,450,253,pistol,130,38,369,238
0112.jpg,1300,731,pistol,370,110,1052,689
0113.jpg,928,1300,pistol,508,344,626,698
0114.jpg,156,235,pistol,59,50,71,75
0115.jpg,680,1024,pistol,169,393,224,529
0116.jpg,1300,1033,pistol,923,526,1207,738
0117.jpg,113,168,pistol,24,71,52,96
0118.jpg,1300,866,pistol,113,234,459,510
0119.jpg,1300,919,pistol,104,395,1150,726
0120.jpg,450,300,pistol,77,163,112,285
0121.jpg,660,440,pistol,447,158,559,221
0122.jpg,1300,1300,pistol,51,500,501,735
0123.jpg,1300,1300,pistol,483,162,578,407
0123.jpg,1300,1300,pistol,1071,162,1166,407
0124.jpg,1496,1620,pistol,205,281,1040,860
0125.jpg,1300,911,pistol,70,121,1238,840
0126.jpg,300,450,pistol,1,1,298,271
0127.jpg,450,301,pistol,143,68,191,107
0128.jpg,640,360,pistol,317,152,361,219
0129.jpg,299,450,pistol,141,204,197,339
0129.jpg,299,450,pistol,187,207,266,342
0130.jpg,450,300,pistol,139,74,226,258
0131.jpg,1500,1120,pistol,287,340,612,840
0132.jpg,1300,866,pistol,1,269,514,775
0133.jpg,799,1024,pistol,171,370,627,670
0134.jpg,1103,1620,pistol,37,200,199,363
0135.jpg,450,322,pistol,222,139,271,194
0136.jpg,450,300,pistol,47,30,348,196
0137.jpg,168,133,pistol,75,51,100,77
0138.jpg,156,235,pistol,52,124,93,193
0139.jpg,1500,1277,pistol,182,297,280,453
0140.jpg,450,300,pistol,46,44,427,171
0141.jpg,450,298,pistol,182,130,263,191
0142.jpg,1300,866,pistol,897,296,1106,607
0143.jpg,1300,866,pistol,638,139,951,303
0144.jpg,891,1300,pistol,419,132,544,305
0145.jpg,450,312,pistol,131,85,407,255
0146.jpg,682,1024,pistol,190,766,248,910
0147.jpg,158,235,pistol,22,94,102,207
0148.jpg,866,1300,pistol,428,745,745,1095
0149.jpg,866,1300,pistol,348,677,598,1095
0150.jpg,450,298,pistol,203,1,268,94
0151.jpg,450,298,pistol,174,97,281,176
0152.jpg,300,450,pistol,150,82,186,155
0153.jpg,412,450,pistol,199,197,240,222
0154.jpg,450,300,pistol,28,43,434,258
0155.jpg,450,300,pistol,149,106,249,255
0156.jpg,300,450,pistol,191,327,222,401
0157.jpg,450,300,pistol,107,91,179,274
0158.jpg,300,450,pistol,34,316,64,368
0159.jpg,300,450,pistol,42,188,82,262
0160.jpg,728,1024,pistol,64,327,171,433
0161.jpg,300,450,pistol,144,178,221,274
0162.jpg,300,450,pistol,58,5,87,52
0163.jpg,864,1300,pistol,73,342,271,632
0164.jpg,1500,1120,pistol,435,519,513,705
0165.jpg,399,600,pistol,122,324,176,361
0166.jpg,485,300,pistol,106,16,363,275
0167.jpg,620,413,pistol,268,63,547,275
0168.jpg,568,345,pistol,184,9,380,181
0169.jpg,2400,1485,pistol,1494,756,1831,1151
0169.jpg,2400,1485,pistol,1766,1016,2291,1335
0169.jpg,2400,1485,pistol,1745,649,2245,947
0170.jpg,384,256,pistol,1,74,106,230
0170.jpg,384,256,pistol,64,64,207,215
0170.jpg,384,256,pistol,160,65,294,202
0170.jpg,384,256,pistol,230,48,376,186
0170.jpg,384,256,pistol,327,59,383,159
0171.jpg,640,480,pistol,28,24,441,448
0172.jpg,320,240,pistol,228,173,316,238
0173.jpg,500,334,pistol,102,53,402,282
0174.jpg,640,360,pistol,212,99,255,143
0175.jpg,640,360,pistol,273,105,355,171
0176.jpg,1024,768,pistol,335,2,939,704
0177.jpg,620,330,pistol,187,89,267,253
0178.jpg,480,270,pistol,72,36,362,261
0179.jpg,980,552,pistol,176,1,863,462
0180.jpg,980,552,pistol,41,1,980,552
0181.jpg,780,438,pistol,87,169,273,427
0181.jpg,780,438,pistol,1,265,90,434
0181.jpg,780,438,pistol,301,144,484,422
0181.jpg,780,438,pistol,441,208,596,420
0181.jpg,780,438,pistol,643,229,780,403
0181.jpg,780,438,pistol,219,41,353,214
0181.jpg,780,438,pistol,500,44,648,193
0181.jpg,780,438,pistol,387,1,538,140
0181.jpg,780,438,pistol,129,1,275,107
0181.jpg,780,438,pistol,300,1,386,71
0181.jpg,780,438,pistol,662,1,762,88
0182.jpg,460,259,pistol,166,122,198,146
0183.jpg,1024,576,pistol,46,18,1002,488
0184.jpg,634,718,pistol,372,179,486,278
0185.jpg,634,507,pistol,305,291,369,339
0186.jpg,876,493,pistol,149,39,662,470
0187.jpg,1300,861,pistol,969,289,1176,504
0188.jpg,876,493,pistol,151,3,655,444
0189.jpg,876,493,pistol,543,212,572,254
0190.jpg,660,371,pistol,73,9,515,338
0191.jpg,962,639,pistol,170,314,335,413
0192.jpg,962,657,pistol,441,272,690,355
0193.jpg,254,300,pistol,213,23,254,54
0194.jpg,300,153,pistol,1,1,184,141
0195.jpg,139,300,pistol,1,140,28,169
0196.jpg,670,366,pistol,347,152,375,188
0197.jpg,560,292,pistol,175,77,382,210
0198.jpg,550,413,pistol,22,194,87,269
0199.jpg,768,576,pistol,9,81,713,512
0200.jpg,346,540,pistol,151,158,184,260
0201.jpg,1300,942,pistol,185,155,1043,743
0202.jpg,1006,1390,pistol,399,186,638,733
0203.jpg,615,405,pistol,31,14,582,330
0204.jpg,728,546,pistol,3,45,355,526
0204.jpg,728,546,pistol,347,29,720,520
0205.jpg,728,546,pistol,2,109,290,498
0206.jpg,728,546,pistol,77,63,628,442
0207.jpg,728,546,pistol,4,15,621,258
0208.jpg,728,546,pistol,6,50,711,498
0209.jpg,728,546,pistol,344,286,668,501
0210.jpg,728,546,pistol,418,195,728,485
0211.jpg,728,481,pistol,322,182,403,461
0212.jpg,728,481,pistol,166,194,333,407
0213.jpg,728,481,pistol,286,207,568,416
0214.jpg,728,546,pistol,105,101,528,304
0215.jpg,728,546,pistol,268,133,322,273
0216.jpg,577,323,pistol,355,30,547,186
0217.jpg,660,437,pistol,141,212,543,392
0218.jpg,660,440,pistol,246,130,276,160
0218.jpg,660,440,pistol,63,97,86,127
0218.jpg,660,440,pistol,404,156,434,196
0218.jpg,660,440,pistol,573,98,611,130
0219.jpg,1300,956,pistol,1,263,495,688
0220.jpg,750,331,pistol,234,61,726,314
0221.jpg,1920,1200,pistol,638,594,994,1033
0222.jpg,640,429,pistol,167,147,637,409
0222.jpg,640,429,pistol,102,90,560,276
0222.jpg,640,429,pistol,1,115,72,293
0222.jpg,640,429,pistol,11,2,109,122
0222.jpg,640,429,pistol,119,1,530,112
0223.jpg,608,342,pistol,297,226,426,329
0223.jpg,608,342,pistol,174,243,311,341
0223.jpg,608,342,pistol,124,226,223,309
0223.jpg,608,342,pistol,291,195,384,246
0223.jpg,608,342,pistol,202,211,299,256
0223.jpg,608,342,pistol,73,192,207,218
0223.jpg,608,342,pistol,1,257,101,336
0224.jpg,5616,3744,pistol,1869,1413,2852,2101
0225.jpg,615,409,pistol,166,25,376,293
0226.jpg,1300,1065,pistol,629,576,731,722
0227.jpg,254,198,pistol,15,12,118,81
0227.jpg,254,198,pistol,142,16,245,80
0227.jpg,254,198,pistol,21,105,118,182
0227.jpg,254,198,pistol,130,116,247,175
0228.jpg,700,393,pistol,251,140,600,344
0229.jpg,1800,1426,pistol,1001,549,1453,1147
0230.jpg,1067,854,pistol,640,216,747,291
0231.jpg,425,260,pistol,168,214,217,255
0232.jpg,434,578,pistol,284,189,332,239
0233.jpg,1600,974,pistol,442,688,585,799
0234.jpg,3000,1853,pistol,1398,314,2963,1326
0235.jpg,200,150,pistol,8,32,185,96
0236.jpg,2560,1600,pistol,616,122,1706,1172
0237.jpg,2560,1600,pistol,228,232,2513,1505
0238.jpg,1300,957,pistol,111,121,1068,785
0239.jpg,550,412,pistol,82,112,464,403
0240.jpg,1132,1696,pistol,487,409,564,540
0241.jpg,620,457,pistol,279,142,320,180
0242.jpg,840,571,pistol,161,256,360,406
0243.jpg,700,525,pistol,163,183,426,313
0244.jpg,346,540,pistol,133,130,162,200
0245.jpg,320,240,pistol,78,9,300,134
0246.jpg,1608,1258,pistol,118,163,724,1161
0247.jpg,500,334,pistol,159,220,275,287
0248.jpg,590,350,pistol,40,199,161,305
0249.jpg,432,324,pistol,194,121,258,163
0250.jpg,379,261,pistol,10,4,371,253
0251.jpg,634,458,pistol,377,161,486,245
0252.jpg,634,477,pistol,240,168,513,368
0253.jpg,634,322,pistol,129,89,233,167
0254.jpg,634,360,pistol,52,5,570,348
0255.jpg,634,850,pistol,15,12,391,618
0256.jpg,634,395,pistol,325,96,390,139
0257.jpg,634,504,pistol,37,44,612,471
0258.jpg,468,446,pistol,53,42,116,121
0259.jpg,634,705,pistol,292,286,545,370
0260.jpg,634,286,pistol,63,143,168,179
0260.jpg,634,286,pistol,236,130,317,192
0260.jpg,634,286,pistol,501,139,539,286
0261.jpg,625,360,pistol,257,146,344,208
0262.jpg,634,403,pistol,124,45,538,207
0263.jpg,306,423,pistol,34,158,95,326
0264.jpg,306,423,pistol,249,166,306,305
0265.jpg,634,433,pistol,350,161,581,324
0266.jpg,640,476,pistol,335,201,487,303
0267.jpg,640,345,pistol,11,14,621,326
0268.jpg,640,360,pistol,237,178,251,208
0269.jpg,640,487,pistol,217,199,408,372
0270.jpg,1200,900,pistol,174,465,960,652
0271.jpg,1280,720,pistol,113,175,1199,600
0272.jpg,2048,1160,pistol,509,578,843,914
0273.jpg,383,325,pistol,174,82,259,143
0274.jpg,580,412,pistol,124,206,305,412
0275.jpg,346,540,pistol,43,1,269,277
0276.jpg,508,657,pistol,81,263,172,371
0277.jpg,1300,953,pistol,88,63,757,467
0278.jpg,468,312,pistol,46,2,230,311
0279.jpg,560,341,pistol,99,152,162,312
0279.jpg,560,341,pistol,375,139,442,308
0280.jpg,347,540,pistol,173,172,205,342
0281.jpg,640,425,pistol,109,149,220,424
0282.jpg,2000,1333,pistol,376,190,2000,1213
0283.jpg,2000,1333,pistol,335,109,2000,1106
0284.jpg,1200,973,pistol,1,15,1162,940
0285.jpg,400,263,pistol,184,94,382,254
0286.jpg,700,416,pistol,27,12,495,393
0287.jpg,450,472,pistol,119,106,410,348
0288.jpg,450,299,pistol,137,28,439,192
0289.jpg,300,200,pistol,151,51,278,122
0290.jpg,900,601,pistol,637,185,779,367
0291.jpg,1200,300,pistol,99,218,262,300
0291.jpg,1200,300,pistol,390,65,634,181
0292.jpg,450,470,pistol,84,5,421,247
0293.jpg,512,288,pistol,33,1,451,286
0294.jpg,346,540,pistol,26,176,112,322
0295.jpg,136,90,pistol,19,8,118,84
0296.jpg,628,392,pistol,466,202,500,233
0297.jpg,600,399,pistol,222,46,483,101
0298.jpg,3072,1728,pistol,225,933,837,1324
0298.jpg,3072,1728,pistol,913,582,1204,812
0298.jpg,3072,1728,pistol,1422,533,1637,679
0298.jpg,3072,1728,pistol,1579,479,1758,603
0299.jpg,275,200,pistol,163,65,224,165
0300.jpg,1446,988,pistol,55,102,1358,891
0301.jpg,750,750,pistol,67,135,683,611
0302.jpg,1500,1000,pistol,981,416,1068,483
0302.jpg,1500,1000,pistol,784,403,894,457
0303.jpg,440,660,pistol,231,105,347,392
0304.jpg,660,340,pistol,489,93,558,120
0305.jpg,420,315,pistol,12,25,243,226
0306.jpg,420,315,pistol,6,17,410,267
0307.jpg,750,750,pistol,40,125,698,628
0308.jpg,1280,960,pistol,408,722,573,960
0308.jpg,1280,960,pistol,901,757,1030,960
0309.jpg,150,180,pistol,10,13,98,176
0310.jpg,270,194,pistol,58,70,135,123
0311.jpg,270,194,pistol,55,46,107,80
0312.jpg,134,178,pistol,12,30,35,90
0313.jpg,270,194,pistol,48,53,182,111
0314.jpg,134,178,pistol,70,25,111,94
0315.jpg,270,194,pistol,16,90,98,125
0316.jpg,269,194,pistol,165,64,183,117
0317.jpg,269,194,pistol,165,36,236,155
0318.jpg,134,178,pistol,86,34,104,83
0319.jpg,251,194,pistol,99,54,132,129
0320.jpg,270,194,pistol,120,38,184,88
0321.jpg,1920,1080,pistol,474,617,779,1002
0322.jpg,270,194,pistol,2,16,91,156
0323.jpg,540,432,pistol,112,42,193,322
0324.jpg,208,194,pistol,154,13,195,86
0325.jpg,270,195,pistol,49,34,132,90
0326.jpg,450,284,pistol,1,72,151,166
0326.jpg,450,284,pistol,296,73,440,166
0327.jpg,300,470,pistol,31,40,121,152
0328.jpg,450,405,pistol,134,165,355,311
0329.jpg,300,470,pistol,3,195,196,377
0330.jpg,300,470,pistol,121,93,278,357
0331.jpg,298,470,pistol,130,206,160,267
0332.jpg,303,470,pistol,43,199,104,246
0333.jpg,450,320,pistol,42,79,414,226
0334.jpg,450,320,pistol,27,10,439,294
0335.jpg,379,470,pistol,274,63,316,202
0336.jpg,450,318,pistol,260,13,306,192
0337.jpg,450,357,pistol,5,17,443,318
0338.jpg,299,470,pistol,68,233,93,282
0339.jpg,330,470,pistol,13,60,62,97
0340.jpg,450,386,pistol,45,65,404,315
0341.jpg,450,370,pistol,115,106,170,206
0342.jpg,286,470,pistol,30,62,226,357
0343.jpg,632,480,pistol,398,294,440,366
0344.jpg,1080,1024,pistol,762,307,1056,572
0345.jpg,300,300,pistol,6,64,296,254
0346.jpg,256,171,pistol,61,34,81,55
0347.jpg,500,350,pistol,325,49,456,206
0348.jpg,615,409,pistol,148,165,222,215
0349.jpg,992,427,pistol,633,160,852,323
0350.jpg,640,480,pistol,554,333,584,377
0351.jpg,1400,856,pistol,80,260,319,441
0352.jpg,1920,1200,pistol,100,475,636,922
0353.jpg,1100,647,pistol,2,17,1099,646
0354.jpg,661,496,pistol,227,196,278,310
0355.jpg,400,260,pistol,1,1,394,252
0356.jpg,1280,853,pistol,110,60,1195,852
0357.jpg,450,320,pistol,195,101,353,204
0358.jpg,640,447,pistol,68,3,430,427
0359.jpg,581,329,pistol,77,60,444,228
0360.jpg,661,496,pistol,30,261,198,494
0361.jpg,640,956,pistol,25,206,609,549
0362.jpg,750,471,pistol,10,19,716,436
0363.jpg,1000,678,pistol,36,40,978,663
0364.jpg,425,283,pistol,2,35,95,161
0365.jpg,640,427,pistol,125,26,330,212
0366.jpg,986,900,pistol,235,418,309,551
0367.jpg,640,480,pistol,111,81,330,429
0368.jpg,626,455,pistol,180,154,238,228
0369.jpg,346,540,pistol,141,227,182,330
0370.jpg,800,430,pistol,410,34,522,398
0371.jpg,460,502,pistol,82,91,244,172
0372.jpg,410,227,pistol,58,138,146,227
0373.jpg,620,350,pistol,229,29,450,343
0374.jpg,2762,1921,pistol,864,266,1764,1154
0375.jpg,800,556,pistol,268,58,522,331
0376.jpg,630,703,pistol,30,364,154,514
0376.jpg,630,703,pistol,499,419,592,638
0376.jpg,630,703,pistol,454,233,528,350
0376.jpg,630,703,pistol,275,131,404,302
0376.jpg,630,703,pistol,216,171,287,324
0377.jpg,600,248,pistol,348,25,389,72
0378.jpg,800,531,pistol,25,21,537,400
0379.jpg,600,480,pistol,60,143,178,295
0380.jpg,299,450,pistol,80,73,133,186
0381.jpg,450,267,pistol,76,8,388,234
0382.jpg,660,399,pistol,73,35,233,228
0383.jpg,1200,647,pistol,25,16,1065,589
0384.jpg,1600,833,pistol,396,113,1203,700
0385.jpg,1100,733,pistol,6,135,972,589
0386.jpg,876,493,pistol,193,218,366,444
0387.jpg,700,500,pistol,6,106,698,406
0388.jpg,1000,792,pistol,9,67,925,686
0389.jpg,600,450,pistol,194,194,344,401
0390.jpg,563,299,pistol,22,18,518,276
0391.jpg,880,587,pistol,108,155,315,365
0392.jpg,645,644,pistol,126,508,235,644
0393.jpg,448,298,pistol,1,41,428,298
0394.jpg,1023,682,pistol,605,258,709,604
0395.jpg,1023,681,pistol,98,1,788,280
0396.jpg,1023,805,pistol,148,181,474,423
0397.jpg,682,1023,pistol,344,494,614,671
0398.jpg,682,1023,pistol,401,302,585,558
0399.jpg,682,1023,pistol,155,358,326,543
0400.jpg,682,1023,pistol,319,333,621,817
0401.jpg,1024,438,pistol,433,105,690,278
0402.jpg,682,1023,pistol,339,5,562,151
0403.jpg,682,1023,pistol,32,133,355,474
0404.jpg,682,1023,pistol,83,238,585,748
0405.jpg,1023,682,pistol,136,62,878,531
0406.jpg,774,646,pistol,162,192,417,492
0407.jpg,682,1023,pistol,91,653,401,974
0408.jpg,1023,683,pistol,328,78,890,597
0409.jpg,1023,651,pistol,28,15,786,585
0410.jpg,757,1023,pistol,231,107,711,835
0411.jpg,1024,590,pistol,440,143,852,450
0412.jpg,1023,682,pistol,524,246,921,454
0413.jpg,1023,682,pistol,49,81,982,682
0414.jpg,681,1023,pistol,134,197,334,592
0414.jpg,681,1023,pistol,3,212,198,535
0415.jpg,682,1023,pistol,388,271,534,587
0416.jpg,801,1024,pistol,271,404,426,465
0417.jpg,1023,620,pistol,394,185,474,265
0418.jpg,680,1024,pistol,438,169,633,431
0419.jpg,450,250,pistol,146,137,210,200
0420.jpg,1024,678,pistol,433,210,648,371
0421.jpg,682,1023,pistol,293,443,378,623
0422.jpg,1023,682,pistol,309,212,509,562
0423.jpg,1024,1024,pistol,90,144,263,290
0424.jpg,767,1023,pistol,542,272,682,390
0425.jpg,1024,1024,pistol,217,256,406,544
0425.jpg,1024,1024,pistol,117,690,402,879
0425.jpg,1024,1024,pistol,513,17,837,187
0425.jpg,1024,1024,pistol,398,710,740,917
0425.jpg,1024,1024,pistol,83,298,271,613
0425.jpg,1024,1024,pistol,1,512,206,748
0425.jpg,1024,1024,pistol,10,263,117,460
0425.jpg,1024,1024,pistol,502,298,740,537
0425.jpg,1024,1024,pistol,544,421,890,598
0425.jpg,1024,1024,pistol,556,848,787,1017
0425.jpg,1024,1024,pistol,829,17,1021,310
0425.jpg,1024,1024,pistol,171,52,498,233
0425.jpg,1024,1024,pistol,410,187,752,321
0425.jpg,1024,1024,pistol,363,594,713,725
0426.jpg,774,1023,pistol,197,92,476,348
0427.jpg,1024,495,pistol,13,53,137,218
0427.jpg,1024,495,pistol,294,195,352,360
0427.jpg,1024,495,pistol,387,57,537,195
0427.jpg,1024,495,pistol,463,137,587,330
0427.jpg,1024,495,pistol,748,53,867,191
0428.jpg,1023,682,pistol,474,166,921,458
0429.jpg,348,449,pistol,116,187,177,239
0430.jpg,574,1023,pistol,360,385,574,551
0431.jpg,168,112,pistol,11,20,116,87
0432.jpg,682,1023,pistol,493,415,573,612
0433.jpg,449,298,pistol,105,41,345,212
0434.jpg,682,1023,pistol,137,530,226,643
0435.jpg,682,1023,pistol,391,610,647,823
0436.jpg,720,1024,pistol,520,505,682,629
0437.jpg,705,1023,pistol,64,283,180,378
0438.jpg,796,1023,pistol,214,367,378,494
0439.jpg,765,1023,pistol,21,401,295,818
0440.jpg,1023,682,pistol,255,85,948,558
0441.jpg,1023,682,pistol,428,77,844,373
0442.jpg,682,1023,pistol,337,640,503,820
0443.jpg,1024,567,pistol,10,1,900,567
0444.jpg,1023,672,pistol,378,134,663,549
0445.jpg,907,1024,pistol,100,330,786,979
0446.jpg,1024,757,pistol,529,134,944,480
0447.jpg,1023,568,pistol,309,162,590,401
0448.jpg,1023,682,pistol,236,162,863,531
0449.jpg,1024,1024,pistol,537,552,606,652
0450.jpg,649,1023,pistol,191,505,342,656
0451.jpg,1024,766,pistol,75,173,652,665
0452.jpg,1023,683,pistol,601,139,724,308
0453.jpg,1023,683,pistol,324,516,390,662
0454.jpg,1023,683,pistol,124,151,221,316
0454.jpg,1023,683,pistol,748,154,859,308
0455.jpg,1023,683,pistol,421,85,624,308
0456.jpg,1024,678,pistol,129,206,425,452
0457.jpg,1024,678,pistol,813,179,983,344
0458.jpg,1023,682,pistol,21,50,982,550
0459.jpg,682,1023,pistol,178,169,306,415
0460.jpg,680,1023,pistol,148,692,361,915
0461.jpg,1023,682,pistol,382,489,563,677
0462.jpg,683,1023,pistol,258,392,396,458
0463.jpg,1023,682,pistol,351,139,596,682
0464.jpg,1023,683,pistol,171,78,498,581
0465.jpg,678,1024,pistol,132,390,235,579
0466.jpg,1023,683,pistol,144,247,332,481
0467.jpg,1023,683,pistol,498,16,586,178
0468.jpg,1023,682,pistol,286,246,486,562
0469.jpg,1023,586,pistol,351,106,821,329
0470.jpg,742,1023,pistol,100,223,322,565
0471.jpg,769,1023,pistol,65,298,315,607
0472.jpg,913,1023,pistol,9,209,206,392
0473.jpg,1023,682,pistol,271,54,413,254
0474.jpg,682,1023,pistol,239,384,352,579
0475.jpg,1024,1024,pistol,352,106,952,787
0476.jpg,846,1023,pistol,566,184,643,290
0477.jpg,1023,683,pistol,121,1,1021,439
0478.jpg,470,1024,pistol,2,124,158,333
0479.jpg,168,111,pistol,14,39,36,73
0480.jpg,170,170,pistol,89,89,112,113
0481.jpg,1024,827,pistol,387,319,625,761
0482.jpg,1024,737,pistol,325,105,775,639
0483.jpg,1023,716,pistol,428,306,517,586
0484.jpg,682,1023,pistol,219,261,337,533
0485.jpg,1023,682,pistol,221,212,428,642
0486.jpg,1023,682,pistol,101,192,563,573
0487.jpg,1024,766,pistol,10,1,1008,766
0488.jpg,450,450,pistol,154,47,407,258
0489.jpg,450,450,pistol,49,222,219,308
0490.jpg,1300,956,pistol,777,5,1212,280
0491.jpg,268,188,pistol,13,23,256,175
0492.jpg,275,183,pistol,23,35,262,164
0493.jpg,225,225,pistol,7,50,217,200
0494.jpg,259,194,pistol,134,74,196,137
0495.jpg,251,201,pistol,11,24,244,165
0496.jpg,300,168,pistol,83,23,243,159
0497.jpg,218,232,pistol,17,28,189,179
0498.jpg,261,193,pistol,107,32,261,193
0499.jpg,192,128,pistol,34,21,147,103
0500.jpg,262,192,pistol,26,10,235,176
0501.jpg,262,193,pistol,1,1,213,129
0502.jpg,275,183,pistol,32,45,252,157
